"Ptagis_ID","Year","Method"
"ELKC",2010,"Both"
"ELKC",2011,"Shock"
"ELKC",2012,"Both"
"ELKC",2013,"Shock"
"ELKC",2014,"Both"
"ELKC",2015,"Both"
"ELKC",2016,"Both"
"ELKC",2017,"Shock"
"ELKC",2018,"Both"
"ELKC",2019,"Both"
"ELKC",2020,NA
"ELKC",2021,"Shock"
"ELKC",2022,"Both"
"ELKC",2023,"Both"
"ELKC",2024,NA
"ELKC",1992,"Shock"
"ELKC",1993,"Shock"
"ELKC",1994,"Both"
"ELKC",1995,NA
"ELKC",1996,NA
"ELKC",1997,"Shock"
"ELKC",1998,"Shock"
"ELKC",1999,"Shock"
"ELKC",2000,"Shock"
"ELKC",2001,"Both"
"ELKC",2002,"Both"
"ELKC",2003,"Both"
"ELKC",2004,"Both"
"ELKC",2005,"Both"
"ELKC",2006,"Both"
"ELKC",2007,"Both"
"ELKC",2008,"Seine"
"ELKC",2009,"Both"
"ELKC",2010,"Both"
"ELKC",2011,"Shock"
"ELKC",2012,"Both"
"ELKC",2013,"Shock"
"ELKC",2014,"Both"
"ELKC",2015,"Both"
"ELKC",2016,"Both"
"ELKC",2017,"Shock"
"ELKC",2018,"Both"
"ELKC",2019,"Both"
"ELKC",2020,NA
"ELKC",2021,"Shock"
"ELKC",2022,"Both"
"ELKC",2023,"Both"
"ELKC",2024,NA
"HERDC",1992,"Shock"
"HERDC",1993,"Shock"
"HERDC",1994,"Shock"
"HERDC",1995,NA
"HERDC",1996,NA
"HERDC",1997,NA
"HERDC",1998,"Shock"
"HERDC",1999,"Shock"
"HERDC",2000,"Shock"
"HERDC",2001,"Shock"
"HERDC",2002,"Shock"
"HERDC",2003,"Shock"
"HERDC",2004,"Shock"
"HERDC",2005,"Shock"
"HERDC",2006,"Shock"
"HERDC",2007,"Shock"
"HERDC",2008,NA
"HERDC",2009,"Shock"
"HERDC",2010,"Shock"
"HERDC",2011,"Shock"
"HERDC",2012,"Shock"
"HERDC",2013,"Shock"
"HERDC",2014,"Shock"
"HERDC",2015,"Shock"
"HERDC",2016,"Shock"
"HERDC",2017,"Shock"
"HERDC",2018,"Shock"
"HERDC",2019,"Shock"
"HERDC",2020,NA
"HERDC",2021,NA
"HERDC",2022,NA
"HERDC",2023,NA
"HERDC",2024,NA
"SALRSF",1992,"Shock"
"SALRSF",1993,"Shock"
"SALRSF",1994,"Both"
"SALRSF",1995,"Shock"
"SALRSF",1996,"Shock"
"SALRSF",1997,"Shock"
"SALRSF",1998,"Shock"
"SALRSF",1999,"Shock"
"SALRSF",2000,"Shock"
"SALRSF",2001,"Shock"
"SALRSF",2002,"Shock"
"SALRSF",2003,"Shock"
"SALRSF",2004,"Both"
"SALRSF",2005,"Shock"
"SALRSF",2006,NA
"SALRSF",2007,NA
"SALRSF",2008,"Shock"
"SALRSF",2009,"Shock"
"SALRSF",2010,"Shock"
"SALRSF",2011,"Shock"
"SALRSF",2012,"Shock"
"SALRSF",2013,"Shock"
"SALRSF",2014,"Shock"
"SALRSF",2015,"Shock"
"SALRSF",2016,"Shock"
"SALRSF",2017,"Shock"
"SALRSF",2018,"Shock"
"SALRSF",2019,"Shock"
"SALRSF",2020,NA
"SALRSF",2021,"Shock"
"SALRSF",2022,"Both"
"SALRSF",2023,"Shock"
"SALRSF",2024,"Shock"
"LAKEC",1992,"Shock"
"LAKEC",1993,"Shock"
"LAKEC",1994,"Shock"
"LAKEC",1995,"Shock"
"LAKEC",1996,"Shock"
"LAKEC",1997,"Shock"
"LAKEC",1998,"Shock"
"LAKEC",1999,"Shock"
"LAKEC",2000,NA
"LAKEC",2001,"Shock"
"LAKEC",2002,"Shock"
"LAKEC",2003,"Shock"
"LAKEC",2004,"Shock"
"LAKEC",2005,"Shock"
"LAKEC",2006,"Shock"
"LAKEC",2007,"Shock"
"LAKEC",2008,"Shock"
"LAKEC",2009,"Shock"
"LAKEC",2010,"Shock"
"LAKEC",2011,"Shock"
"LAKEC",2012,"Shock"
"LAKEC",2013,"Shock"
"LAKEC",2014,"Shock"
"LAKEC",2015,"Shock"
"LAKEC",2016,"Shock"
"LAKEC",2017,"Shock"
"LAKEC",2018,"Shock"
"LAKEC",2019,"Shock"
"LAKEC",2020,NA
"LAKEC",2021,"Shock"
"LAKEC",2022,NA
"LAKEC",2023,"Shock"
"LAKEC",2024,NA
"LOONC",1992,"Shock"
"LOONC",1993,"Shock"
"LOONC",1994,"Shock"
"LOONC",1995,NA
"LOONC",1996,NA
"LOONC",1997,NA
"LOONC",1998,"Shock"
"LOONC",1999,"Shock"
"LOONC",2000,NA
"LOONC",2001,NA
"LOONC",2002,"Shock"
"LOONC",2003,"Shock"
"LOONC",2004,"Shock"
"LOONC",2005,"Shock"
"LOONC",2006,NA
"LOONC",2007,"Shock"
"LOONC",2008,"Shock"
"LOONC",2009,"Shock"
"LOONC",2010,"Shock"
"LOONC",2011,"Shock"
"LOONC",2012,"Shock"
"LOONC",2013,"Shock"
"LOONC",2014,"Shock"
"LOONC",2015,"Shock"
"LOONC",2016,"Shock"
"LOONC",2017,"Shock"
"LOONC",2018,NA
"LOONC",2019,"Shock"
"LOONC",2020,NA
"LOONC",2021,"Shock"
"LOONC",2022,NA
"LOONC",2023,NA
"LOONC",2024,NA
"MARSHC",1992,"Shock"
"MARSHC",1993,"Shock"
"MARSHC",1994,"Both"
"MARSHC",1995,NA
"MARSHC",1996,NA
"MARSHC",1997,NA
"MARSHC",1998,"Shock"
"MARSHC",1999,"Shock"
"MARSHC",2000,NA
"MARSHC",2001,"Shock"
"MARSHC",2002,"Both"
"MARSHC",2003,"Both"
"MARSHC",2004,"Seine"
"MARSHC",2005,"Shock"
"MARSHC",2006,NA
"MARSHC",2007,"Shock"
"MARSHC",2008,"Shock"
"MARSHC",2009,"Both"
"MARSHC",2010,"Shock"
"MARSHC",2011,"Shock"
"MARSHC",2012,NA
"MARSHC",2013,"Shock"
"MARSHC",2014,"Shock"
"MARSHC",2015,"Shock"
"MARSHC",2016,"Shock"
"MARSHC",2017,"Shock"
"MARSHC",2018,NA
"MARSHC",2019,"Shock"
"MARSHC",2020,NA
"MARSHC",2021,"Shock"
"MARSHC",2022,"Shock"
"MARSHC",2023,"Shock"
"MARSHC",2024,"Shock"
"MARSHC",1992,"Shock"
"MARSHC",1993,"Shock"
"MARSHC",1994,"Both"
"MARSHC",1995,NA
"MARSHC",1996,NA
"MARSHC",1997,NA
"MARSHC",1998,"Shock"
"MARSHC",1999,"Shock"
"MARSHC",2000,NA
"MARSHC",2001,"Shock"
"MARSHC",2002,"Both"
"MARSHC",2003,"Both"
"MARSHC",2004,"Seine"
"MARSHC",2005,"Shock"
"MARSHC",2006,NA
"MARSHC",2007,"Shock"
"MARSHC",2008,"Shock"
"MARSHC",2009,"Both"
"MARSHC",2010,"Shock"
"MARSHC",2011,"Shock"
"MARSHC",2012,NA
"MARSHC",2013,"Shock"
"MARSHC",2014,"Shock"
"MARSHC",2015,"Shock"
"MARSHC",2016,"Shock"
"MARSHC",2017,"Shock"
"MARSHC",2018,NA
"MARSHC",2019,"Shock"
"MARSHC",2020,NA
"MARSHC",2021,"Shock"
"MARSHC",2022,"Shock"
"MARSHC",2023,"Shock"
"MARSHC",2024,"Shock"
"RUSHC",1992,"Shock"
"RUSHC",1993,"Shock"
"RUSHC",1994,"Shock"
"RUSHC",1995,NA
"RUSHC",1996,NA
"RUSHC",1997,NA
"RUSHC",1998,"Shock"
"RUSHC",1999,"Shock"
"RUSHC",2000,NA
"RUSHC",2001,"Shock"
"RUSHC",2002,NA
"RUSHC",2003,"Shock"
"RUSHC",2004,NA
"RUSHC",2005,NA
"RUSHC",2006,NA
"RUSHC",2007,NA
"RUSHC",2008,NA
"RUSHC",2009,NA
"RUSHC",2010,NA
"RUSHC",2011,NA
"RUSHC",2012,NA
"RUSHC",2013,NA
"RUSHC",2014,NA
"RUSHC",2015,NA
"RUSHC",2016,NA
"RUSHC",2017,NA
"RUSHC",2018,NA
"RUSHC",2019,NA
"RUSHC",2020,NA
"RUSHC",2021,NA
"RUSHC",2022,NA
"RUSHC",2023,NA
"RUSHC",2024,NA
"SALREF",1992,"Shock"
"SALREF",1993,"Shock"
"SALREF",1994,"Shock"
"SALREF",1995,NA
"SALREF",1996,NA
"SALREF",1997,NA
"SALREF",1998,NA
"SALREF",1999,"Shock"
"SALREF",2000,NA
"SALREF",2001,NA
"SALREF",2002,NA
"SALREF",2003,NA
"SALREF",2004,NA
"SALREF",2005,NA
"SALREF",2006,NA
"SALREF",2007,NA
"SALREF",2008,NA
"SALREF",2009,NA
"SALREF",2010,NA
"SALREF",2011,NA
"SALREF",2012,NA
"SALREF",2013,NA
"SALREF",2014,NA
"SALREF",2015,NA
"SALREF",2016,NA
"SALREF",2017,NA
"SALREF",2018,NA
"SALREF",2019,NA
"SALREF",2020,NA
"SALREF",2021,NA
"SALREF",2022,NA
"SALREF",2023,NA
"SALREF",2024,NA
"SALRSF",1992,"Shock"
"SALRSF",1993,"Shock"
"SALRSF",1994,"Both"
"SALRSF",1995,"Shock"
"SALRSF",1996,"Shock"
"SALRSF",1997,"Shock"
"SALRSF",1998,"Shock"
"SALRSF",1999,"Shock"
"SALRSF",2000,"Shock"
"SALRSF",2001,"Shock"
"SALRSF",2002,"Shock"
"SALRSF",2003,"Shock"
"SALRSF",2004,"Both"
"SALRSF",2005,"Shock"
"SALRSF",2006,NA
"SALRSF",2007,NA
"SALRSF",2008,"Shock"
"SALRSF",2009,"Shock"
"SALRSF",2010,"Shock"
"SALRSF",2011,"Shock"
"SALRSF",2012,"Shock"
"SALRSF",2013,"Shock"
"SALRSF",2014,"Shock"
"SALRSF",2015,"Shock"
"SALRSF",2016,"Shock"
"SALRSF",2017,"Shock"
"SALRSF",2018,"Shock"
"SALRSF",2019,"Shock"
"SALRSF",2020,NA
"SALRSF",2021,"Shock"
"SALRSF",2022,"Both"
"SALRSF",2023,"Shock"
"SALRSF",2024,"Shock"
"SALRSF",1992,"Shock"
"SALRSF",1993,"Shock"
"SALRSF",1994,"Both"
"SALRSF",1995,"Shock"
"SALRSF",1996,"Shock"
"SALRSF",1997,"Shock"
"SALRSF",1998,"Shock"
"SALRSF",1999,"Shock"
"SALRSF",2000,"Shock"
"SALRSF",2001,"Shock"
"SALRSF",2002,"Shock"
"SALRSF",2003,"Shock"
"SALRSF",2004,"Both"
"SALRSF",2005,"Shock"
"SALRSF",2006,NA
"SALRSF",2007,NA
"SALRSF",2008,"Shock"
"SALRSF",2009,"Shock"
"SALRSF",2010,"Shock"
"SALRSF",2011,"Shock"
"SALRSF",2012,"Shock"
"SALRSF",2013,"Shock"
"SALRSF",2014,"Shock"
"SALRSF",2015,"Shock"
"SALRSF",2016,"Shock"
"SALRSF",2017,"Shock"
"SALRSF",2018,"Shock"
"SALRSF",2019,"Shock"
"SALRSF",2020,NA
"SALRSF",2021,"Shock"
"SALRSF",2022,"Both"
"SALRSF",2023,"Shock"
"SALRSF",2024,"Shock"
"SECESR",1992,"Shock"
"SECESR",1993,"Shock"
"SECESR",1994,"Shock"
"SECESR",1995,"Shock"
"SECESR",1996,"Shock"
"SECESR",1997,"Shock"
"SECESR",1998,"Shock"
"SECESR",1999,"Shock"
"SECESR",2000,"Shock"
"SECESR",2001,"Shock"
"SECESR",2002,"Shock"
"SECESR",2003,"Shock"
"SECESR",2004,"Shock"
"SECESR",2005,"Shock"
"SECESR",2006,"Shock"
"SECESR",2007,NA
"SECESR",2008,"Shock"
"SECESR",2009,"Shock"
"SECESR",2010,"Shock"
"SECESR",2011,"Shock"
"SECESR",2012,"Shock"
"SECESR",2013,"Shock"
"SECESR",2014,"Shock"
"SECESR",2015,"Shock"
"SECESR",2016,"Shock"
"SECESR",2017,"Shock"
"SECESR",2018,"Shock"
"SECESR",2019,"Shock"
"SECESR",2020,NA
"SECESR",2021,"Shock"
"SECESR",2022,NA
"SECESR",2023,"Shock"
"SECESR",2024,NA
"SECESR",1992,"Shock"
"SECESR",1993,"Shock"
"SECESR",1994,"Shock"
"SECESR",1995,"Shock"
"SECESR",1996,"Shock"
"SECESR",1997,"Shock"
"SECESR",1998,"Shock"
"SECESR",1999,"Shock"
"SECESR",2000,"Shock"
"SECESR",2001,"Shock"
"SECESR",2002,"Shock"
"SECESR",2003,"Shock"
"SECESR",2004,"Shock"
"SECESR",2005,"Shock"
"SECESR",2006,"Shock"
"SECESR",2007,NA
"SECESR",2008,"Shock"
"SECESR",2009,"Shock"
"SECESR",2010,"Shock"
"SECESR",2011,"Shock"
"SECESR",2012,"Shock"
"SECESR",2013,"Shock"
"SECESR",2014,"Shock"
"SECESR",2015,"Shock"
"SECESR",2016,"Shock"
"SECESR",2017,"Shock"
"SECESR",2018,"Shock"
"SECESR",2019,"Shock"
"SECESR",2020,NA
"SECESR",2021,"Shock"
"SECESR",2022,NA
"SECESR",2023,"Shock"
"SECESR",2024,NA
"SALRSF",1992,"Shock"
"SALRSF",1993,"Shock"
"SALRSF",1994,"Both"
"SALRSF",1995,"Shock"
"SALRSF",1996,"Shock"
"SALRSF",1997,"Shock"
"SALRSF",1998,"Shock"
"SALRSF",1999,"Shock"
"SALRSF",2000,"Shock"
"SALRSF",2001,"Shock"
"SALRSF",2002,"Shock"
"SALRSF",2003,"Shock"
"SALRSF",2004,"Both"
"SALRSF",2005,"Shock"
"SALRSF",2006,NA
"SALRSF",2007,NA
"SALRSF",2008,"Shock"
"SALRSF",2009,"Shock"
"SALRSF",2010,"Shock"
"SALRSF",2011,"Shock"
"SALRSF",2012,"Shock"
"SALRSF",2013,"Shock"
"SALRSF",2014,"Shock"
"SALRSF",2015,"Shock"
"SALRSF",2016,"Shock"
"SALRSF",2017,"Shock"
"SALRSF",2018,"Shock"
"SALRSF",2019,"Shock"
"SALRSF",2020,NA
"SALRSF",2021,"Shock"
"SALRSF",2022,"Both"
"SALRSF",2023,"Shock"
"SALRSF",2024,"Shock"
"SULFUC",1992,"Shock"
"SULFUC",1993,NA
"SULFUC",1994,"Both"
"SULFUC",1995,NA
"SULFUC",1996,NA
"SULFUC",1997,NA
"SULFUC",1998,"Shock"
"SULFUC",1999,"Shock"
"SULFUC",2000,NA
"SULFUC",2001,NA
"SULFUC",2002,"Both"
"SULFUC",2003,"Seine"
"SULFUC",2004,"Seine"
"SULFUC",2005,"Both"
"SULFUC",2006,NA
"SULFUC",2007,"Shock"
"SULFUC",2008,"Shock"
"SULFUC",2009,"Shock"
"SULFUC",2010,"Shock"
"SULFUC",2011,"Shock"
"SULFUC",2012,"Shock"
"SULFUC",2013,NA
"SULFUC",2014,"Shock"
"SULFUC",2015,"Shock"
"SULFUC",2016,"Shock"
"SULFUC",2017,NA
"SULFUC",2018,NA
"SULFUC",2019,"Shock"
"SULFUC",2020,NA
"SULFUC",2021,NA
"SULFUC",2022,NA
"SULFUC",2023,NA
"SULFUC",2024,NA
"SULFUC",1992,"Shock"
"SULFUC",1993,NA
"SULFUC",1994,"Both"
"SULFUC",1995,NA
"SULFUC",1996,NA
"SULFUC",1997,NA
"SULFUC",1998,"Shock"
"SULFUC",1999,"Shock"
"SULFUC",2000,NA
"SULFUC",2001,NA
"SULFUC",2002,"Both"
"SULFUC",2003,"Seine"
"SULFUC",2004,"Seine"
"SULFUC",2005,"Both"
"SULFUC",2006,NA
"SULFUC",2007,"Shock"
"SULFUC",2008,"Shock"
