"","Ptagis_ID","Year","Sample_Year","parr_ha","prec_parr_ha"
"73","SECESR",2005,2006,454.560362074055,3.02015265498874
"74","VALEYC",2005,2006,443.778065760526,2.75906133828996
"75","BEARVC",2006,2007,276.576518427677,0
"76","BIG2C",2006,2007,236.219087487248,0
"77","BIGC",2006,2007,327.006753690505,0.304302842188546
"78","CAMASC",2006,2007,432.625213211351,0.44243872223697
"79","CAPEHC",2006,2007,511.390602752729,4.42338072669826
"80","ELKC",2006,2007,274.690217938816,5.53437461566843
"81","HERDC",2006,2007,150.11421733928,0
"82","LAKEC",2006,2007,459.119871374978,27.7178934400985
"83","VALEYC",2006,2007,314.678206319703,3.01386377335744
"84","BEARVC",2007,2008,122.728721708639,0
"85","BIG2C",2007,2008,133.38362364559,0.233775949130353
"86","BIGC",2007,2008,295.478059765078,0.247892910262766
"87","CAMASC",2007,2008,232.280329174409,0
"88","ELKC",2007,2008,316.689214118805,3.7593984962406
"89","LAKEC",2007,2008,451.955651370496,1.43947027493882
"90","LOONC",2007,2008,118.878565342638,0
"91","MARSHC",2007,2008,322.881454715002,0
"92","SULFUC",2007,2008,113.418301589575,1.2293570462648
"93","VALEYC",2007,2008,346.71488848704,0.745091708371105
"94","BEARVC",2008,2009,302.906976744186,2.74788184108083
"95","BIG2C",2008,2009,240.321675706003,0
"96","BIGC",2008,2009,295.488349033218,7.4329705335811
"97","CAMASC",2008,2009,194.385270846013,0
"98","CHAMBC",2008,2009,283.897133376348,0.728279076542131
"99","CHAMWF",2008,2009,1513.1195335277,0
"100","ELKC",2008,2009,644.110275689223,4.9368784822625
"101","LAKEC",2008,2009,281.65635046303,1.95407914020518
"102","LOONC",2008,2009,177.613382651871,0
"103","MARSHC",2008,2009,327.513699502995,1.75932441942294
"104","SALRSF",2008,2009,299.625468164794,0
"105","SECESR",2008,2009,285.727410537921,1.37650038542011
"106","SULFUC",2008,2009,210.62984059337,2.66744911840807
"107","VALEYC",2008,2009,347.585281955121,5.67008221619213
"108","BEARVC",2009,2010,518.891687657431,1.43612132352941
"109","BIG2C",2009,2010,333.494340256631,0.256029494597778
"110","BIGC",2009,2010,451.552959915052,7.37003231475707
"111","CAMASC",2009,2010,359.324469996407,0
"112","CAPEHC",2009,2010,406.071227803313,12.5140783381304
"113","CHAMBC",2009,2010,459.544097298085,4.91853673532124
"114","CHAMWF",2009,2010,6400,9.09090909090909
"115","ELKC",2009,2010,395.302912758305,5.86235197561262
"116","HERDC",2009,2010,674.326615181767,6.62171923910426
"117","LAKEC",2009,2010,403.517342452369,3.62253214997283
"118","LOONC",2009,2010,367.600684746374,0.357640999964236
"119","MARSHC",2009,2010,445.812807881773,2.70570091182121
"120","SALRSF",2009,2010,424.09064783644,1.21491920787268
"121","SECESR",2009,2010,403.039312851008,0.887495192734373
"122","SULFUC",2009,2010,279.015177785484,3.43642611683849
"123","VALEYC",2009,2010,699.850147827143,3.17592647730205
"124","BEARVC",2010,2011,343.232996323529,2.24001792014336
"125","BIG2C",2010,2011,412.975574786215,0.298819662333782
"126","BIGC",2010,2011,579.964850615114,9.96737948532077
"127","CHAMBC",2010,2011,600.061481709192,4.26839679016561
"128","CHAMWF",2010,2011,7190.90909090909,11.3207547169811
"129","ELKC",2010,2011,321.843123461133,1.1736170878648
"130","HERDC",2010,2011,652.540332289911,9.09031881046685
"131","LAKEC",2010,2011,377.347098955503,5.63264888115111
"132","LOONC",2010,2011,312.935874968706,0
"133","MARSHC",2010,2011,330.366081333369,0.40908161178155
"134","SALRSF",2010,2011,426.031668894019,0.540891389009087
"135","SECESR",2010,2011,361.506375173801,2.62605042016807
"136","SULFUC",2010,2011,238.487972508591,1.70247539923048
"137","VALEYC",2010,2011,580.599059131781,5.63296277274309
"138","BEARVC",2011,2012,774.486195889567,2.86532951289398
"139","BIG2C",2011,2012,520.842671447781,0
"140","BIGC",2011,2012,489.534251540413,4.97605274615911
"141","CHAMBC",2011,2012,748.676796995049,6.56491055309371
"142","CHAMWF",2011,2012,6279.24528301887,74.2857142857143
"143","ELKC",2011,2012,440.497613645255,7.99520287827304
"144","HERDC",2011,2012,701.902473865333,4.19170043314238
"145","LAKEC",2011,2012,594.50048645604,8.44426783230677
"146","LOONC",2011,2012,423.722378312704,0.307967109112747
"147","SALRSF",2011,2012,875.162267416703,0.368595650571323
"148","SECESR",2011,2012,564.338235294118,0.341029226204686
"149","SULFUC",2011,2012,421.873403929313,3.78229131207686
"150","VALEYC",2011,2012,833.512814990308,8.63040721431591
"151","BEARVC",2012,2013,869.832173557102,1.97745699031046
"152","BIG2C",2012,2013,452.257474069555,0
"153","BIGC",2012,2013,645.020837220875,3.43906245866511
"154","CAMASC",2012,2013,172.874209416725,0.832916874895886
"155","CHAMBC",2012,2013,542.425734449368,2.74273176083379
"156","CHAMWF",2012,2013,3268.57142857143,0
"157","ELKC",2012,2013,658.604837097741,3.35377539287083
"158","HERDC",2012,2013,913.092077686181,14.6871008939974
"159","LAKEC",2012,2013,504.669183389628,6.0967348597751
"160","LOONC",2012,2013,432.693788303409,0
"161","SALRSF",2012,2013,425.359380759307,0
"162","SECESR",2012,2013,366.265388943832,1.49381932255294
"163","VALEYC",2012,2013,645.519233478935,3.7252485887039
"164","BEARVC",2013,2014,419.220881945818,0
"165","BIG2C",2013,2014,389.934953782951,0.249022586348582
"166","BIGC",2013,2014,390.465860691516,2.8199022433889
"167","CAMASC",2013,2014,613.026819923372,1.28205128205128
"168","CAPEHC",2013,2014,547.123190963643,16.2411485740272
"169","CHAMBC",2013,2014,792.649478880965,0.741399762752076
"170","CHAMWF",2013,2014,2206,1.75438596491228
"171","ELKC",2013,2014,498.275201226524,7.23981900452489
"172","HERDC",2013,2014,377.394636015326,0
"173","LAKEC",2013,2014,314.320552770627,5.47454337331409
"174","LOONC",2013,2014,297.701086057666,0
"175","MARSHC",2013,2014,750.063403499873,2.46457178065311
"176","SALRSF",2013,2014,477.188081936685,0
"177","SECESR",2013,2014,420.510139298652,2.12908327757163
"178","VALEYC",2013,2014,988.050548757773,6.99583931661696
"179","BEARVC",2014,2015,384.58922742111,1.52594099694812
"180","BIG2C",2014,2015,282.391612919292,0
"181","BIGC",2014,2015,446.484521869909,1.25707102451288
"182","CAMASC",2014,2015,544.230769230769,0
"183","CAPEHC",2014,2015,696.420450854284,0.680457267283615
"184","CHAMBC",2014,2015,625,0.540745146812307
"185","CHAMWF",2014,2015,1347.36842105263,7.40740740740741
"186","ELKC",2014,2015,495.475113122172,0
"187","HERDC",2014,2015,537.681798148964,4.54921422663358
"188","LAKEC",2014,2015,335.937888817001,2.6653872807719
"189","LOONC",2014,2015,201.51914431871,0
"190","MARSHC",2014,2015,688.847812692545,0.411861614497529
"191","SALRSF",2014,2015,282.778864970646,1.08754758020663
"192","SECESR",2014,2015,392.055477827118,1.46348602370847
"193","SULFUC",2014,2015,321.029292361501,5.14484723761279
"194","VALEYC",2014,2015,787.216024154056,1.95175267390116
"195","BEARVC",2015,2016,410.478128179044,0.678671613428649
"196","BIG2C",2015,2016,388.681086355505,0
"197","BIGC",2015,2016,333.752357008171,8.76168224299065
"198","CAMASC",2015,2016,273.066797281577,0
"199","CAPEHC",2015,2016,798.856831790963,5.38444970923972
"200","CHAMBC",2015,2016,285.513437516898,1.51434845157871
"201","CHAMWF",2015,2016,1670.37037037037,0.826446280991736
"202","ELKC",2015,2016,432.62058677275,1.92363181687025
"203","HERDC",2015,2016,467.328370554177,0.402965828497743
"204","LAKEC",2015,2016,431.792739485047,5.71020699500357
"205","LOONC",2015,2016,364.904386951631,0
"206","MARSHC",2015,2016,661.861614497529,0.348043992760685
"207","SALRSF",2015,2016,538.879825992387,0
"208","SECESR",2015,2016,366.456900336602,0.73227885178676
"209","SULFUC",2015,2016,324.125375969606,2.44107515799181
"210","VALEYC",2015,2016,1039.50347411976,1.06207848760023
"211","BEARVC",2016,2017,300.651524748892,0
"212","BIG2C",2016,2017,257.504320184328,0
"213","BIGC",2016,2017,533.210947930574,3.84319754035357
"214","CAPEHC",2016,2017,767.822528537583,3.12581401406616
"215","ELKC",2016,2017,559.295950755026,1.4030164854437
"216","HERDC",2016,2017,422.308188265635,1.09926349345938
"217","LAKEC",2016,2017,395.907684986914,17.5074568797821
"218","LOONC",2016,2017,487.422088695574,0
"219","MARSHC",2016,2017,469.859390226925,0
"220","SALRSF",2016,2017,464.186725018235,0.744934445768772
"221","SECESR",2016,2017,411.174575278266,0
"222","VALEYC",2016,2017,512.718389889013,0.528401585204756
"223","BEARVC",2017,2018,327.724456323654,0
"224","BIG2C",2017,2018,248.019053726011,0
"225","BIGC",2017,2018,371.509095567512,3.16484311420562
"226","ELKC",2017,2018,380.217467555244,8.3509989079463
"227","HERDC",2017,2018,928.328020226448,6.07127678950883
"228","LAKEC",2017,2018,484.372973673972,4.23948372509303
"229","SALRSF",2017,2018,415.673420738975,3.0857848179387
"230","SECESR",2017,2018,367.286380427542,1.01351351351351
"231","VALEYC",2017,2018,406.340819022457,2.47026855348131
"232","BEARVC",2018,2019,416.010339674462,0
"233","BIG2C",2018,2019,98.9419502430655,0
"234","BIGC",2018,2019,247.762003797812,1.40252454417952
"235","CHAMBC",2018,2019,476.632801161103,3.80558877894966
"236","ELKC",2018,2019,247.960429112867,0
"237","HERDC",2018,2019,276.243093922652,1.17219552221311
"238","LAKEC",2018,2019,289.227000800791,8.88713340574701
"239","SALRSF",2018,2019,576.52746348488,3.49711488022382
"240","SECESR",2018,2019,233.108108108108,1.20033609410635
"241","VALEYC",2018,2019,494.759501711543,1.98513981056094
"242","BEARVC",2021,2022,186.478225512465,0.684205124696384
"243","CAPEHC",2021,2022,787.650782276365,15.9034823142309
"244","ELKC",2021,2022,151.467587505886,1.7472335468841
"245","MARSHC",2021,2022,713.739335098558,2.71444082519001
"246","SALRSF",2021,2022,241.537627969316,0.250884367395068
"247","BEARVC",2022,2023,396.154767199206,2.51524869521474
"248","CAPEHC",2022,2023,459.555799287085,12.4031007751938
"249","ELKC",2022,2023,353.523587652883,10.6951871657754
"250","MARSHC",2022,2023,681.324647122693,1.75932441942294
"251","SALRSF",2022,2023,144.258511252164,3.27249842668345
"252","MARSHC",2023,2024,564.039408866995,3.57845768473788
"253","SALRSF",2023,2024,444.052863436123,3.1331592689295
"254","MARSHC",2024,2025,373.054213633924,0.542888165038002
"255","SALRSF",2024,2025,556.657963446475,3.9633609300687
